Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
Steely Dan,Katy Lied (1975),Doctor Wu,"""<b><u>Biscayne Bay</b></u>, where the Cuban gentlemen sleep all day""","Biscayne Bay, FL","[ 25.82793185864883, -80.15032805661117 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Doctor Wu"", ""lyric"": ""<b><u>Biscayne Bay</b></u>, where the Cuban gentlemen sleep all day"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 25.82793185864883, -80.15032805661117 ] } },",25.82793186,-80.15032806
Steely Dan,The Royal Scam (1976),Kid Charlemagne,"""Those <b><u>San Francisco</b></u> nights. You were the best in town""",San Francisco,"[ 37.756973517610476, -122.44551569706088 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Kid Charlemagne"", ""lyric"": ""Those <b><u>San Francisco</b></u> nights. You were the best in town"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.756973517610476, -122.44551569706088 ] } },",37.75697352,-122.4455157
Steely Dan,The Royal Scam (1976),Kid Charlemagne,"""You'd go to <b><u>L.A.</b></u> on a dare and you'd go it alone""",LA,"[ 34.07445256692727, -118.24915657428124 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Kid Charlemagne"", ""lyric"": ""You'd go to <b><u>L.A.</b></u> on a dare and you'd go it alone"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.07445256692727, -118.24915657428124 ] } },",34.07445257,-118.2491566
Steely Dan,The Royal Scam (1976),The Caves Of Altamira,"""On the stone an ancient hand in a faded yellow-green made alive a worldly wonder""",Caves of Altamira,"[ 43.377615226518145, -4.123039423781005 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Caves Of Altamira"", ""lyric"": ""On the stone an ancient hand in a faded yellow-green made alive a worldly wonder"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 43.377615226518145, -4.123039423781005 ] } },",43.37761523,-4.123039424
Steely Dan,The Royal Scam (1976),The Caves Of Altamira,"""When there wasn't even any <b><u>Hollywood</b></u>""",Hollywood,"[ 34.08880390401025, -118.31438921637128 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Caves Of Altamira"", ""lyric"": ""When there wasn't even any <b><u>Hollywood</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.08880390401025, -118.31438921637128 ] } },",34.0888039,-118.3143892
Steely Dan,The Royal Scam (1976),Don't Take Me Alive,"""Well, I crossed my old man back in <b><u>Oregon</b></u>""",Oregon,"[ 43.988872371571084, -120.6517053062694 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Don't Take Me Alive"", ""lyric"": ""Well, I crossed my old man back in <b><u>Oregon</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 43.988872371571084, -120.6517053062694 ] } },",43.98887237,-120.6517053
Steely Dan,The Royal Scam (1976),Haitian Divorce,"""Oh, congratulations, this is your <b><u>Haitian</b></u> divorce""",Haiti,"[ 18.635607231468107, -72.29333931655626 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Haitian Divorce"", ""lyric"": ""Oh, congratulations, this is your <b><u>Haitian</b></u> divorce"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 18.635607231468107, -72.29333931655626 ] } },",18.63560723,-72.29333932
Steely Dan,The Royal Scam (1976),The Royal Scam,"""And they wandered in from the city of <b><u>St. John</b></u>""",San Juan,"[ 18.414303807205634, -66.06013262129298 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Royal Scam"", ""lyric"": ""And they wandered in from the city of <b><u>St. John</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 18.414303807205634, -66.06013262129298 ] } },",18.41430381,-66.06013262
Steely Dan,The Royal Scam (1976),The Royal Scam,"""To <b><u>New York City</b></u> did they ride into the street""",NYC,"[ 40.61610939364222, -74.09298893927613 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Royal Scam"", ""lyric"": ""To <b><u>New York City</b></u> did they ride into the street"", ""artist"": ""Steely Dan"", ""year"": ""1976"", ""album"": ""The Royal Scam"", ""count"": 10, ""pic"": ""<img src='Steely_TheRoyalScam.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.61610939364222, -74.09298893927613 ] } },",40.61610939,-74.09298894
Steely Dan,Aja (1977),Deacon Blues,"""They call <b><u>Alabama</b></u> the Crimson Tide. Call me Deacon Blues""",Alabama,"[ 33.09334871567647, -86.73902123730956 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Deacon Blues"", ""lyric"": ""They call <b><u>Alabama</b></u> the Crimson Tide. Call me Deacon Blues"", ""artist"": ""Steely Dan"", ""year"": ""1977"", ""album"": ""Aja"", ""count"": 10, ""pic"": ""<img src='Steely_Aja.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 33.09334871567647, -86.73902123730956 ] } },",33.09334872,-86.73902124
Steely Dan,Gaucho (1980),Babylon Sisters,"""<b><u>Babylon</b></u> sisters shake it""",Babylon,"[ 32.569543330583656, 44.42344328080909 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Babylon Sisters"", ""lyric"": ""<b><u>Babylon</b></u> sisters shake it"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 32.569543330583656, 44.42344328080909 ] } },",32.56954333,44.42344328
Steely Dan,Gaucho (1980),Babylon Sisters,"""Here comes those <b><u>Santa Ana</b></u> winds again""","Santa Ana, CA","[ 33.7435484098323, -117.87159353554306 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Babylon Sisters"", ""lyric"": ""Here comes those <b><u>Santa Ana</b></u> winds again"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 33.7435484098323, -117.87159353554306 ] } },",33.74354841,-117.8715935
Steely Dan,Gaucho (1980),Babylon Sisters,"""Drink kirschwasser from a shell. <b><u>San Francisco</b></u> show and tell""",San Francisco,"[ 37.78427036173337, -122.4476124588523 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Babylon Sisters"", ""lyric"": ""Drink kirschwasser from a shell. <b><u>San Francisco</b></u> show and tell"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.78427036173337, -122.4476124588523 ] } },",37.78427036,-122.4476125
Steely Dan,Gaucho (1980),Hey Nineteen,"""Sweet things from <b><u>Boston</b></u>. So young and willing""",Boston,"[ 42.33804092208967, -71.07240737724942 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Hey Nineteen"", ""lyric"": ""Sweet things from <b><u>Boston</b></u>. So young and willing"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 42.33804092208967, -71.07240737724942 ] } },",42.33804092,-71.07240738
Steely Dan,Gaucho (1980),Hey Nineteen,"""Moved down to <b><u>Scarsdale</b></u>. Where the hell am I?""",Scarsdale NY,"[ 41.002273062044, -73.78562519385324 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Hey Nineteen"", ""lyric"": ""Moved down to <b><u>Scarsdale</b></u>. Where the hell am I?"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.002273062044, -73.78562519385324 ] } },",41.00227306,-73.78562519
Steely Dan,Gaucho (1980),Glamour Profession,"""It's a glamour profession. The <b><u>L.A.</b></u> concession""",LA,"[ 34.04030559410922, -118.2533602177086 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Glamour Profession"", ""lyric"": ""It's a glamour profession. The <b><u>L.A.</b></u> concession"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.04030559410922, -118.2533602177086 ] } },",34.04030559,-118.2533602
Steely Dan,Gaucho (1980),Glamour Profession,"""All aboard the Carib Cannibal. Off to <b><u>Barbados</b></u> just for the ride.""",Barbados,"[ 13.163867466070856, -59.56153883008117 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Glamour Profession"", ""lyric"": ""All aboard the Carib Cannibal. Off to <b><u>Barbados</b></u> just for the ride"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 13.163867466070856, -59.56153883008117 ] } },",13.16386747,-59.56153883
Steely Dan,Gaucho (1980),Glamour Profession,"""<b><u>Hollywood</b></u>, I know your middle name""",Hollywood,"[ 34.09492583732038, -118.32156538970078 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Glamour Profession"", ""lyric"": ""<b><u>Hollywood</b></u>, I know your middle name"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.09492583732038, -118.32156538970078 ] } },",34.09492584,-118.3215654
Steely Dan,Gaucho (1980),Glamour Profession,"""Jive Miguel, he's in from <b><u>Bogota</b></u>""",Bogota,"[ 4.7032939803754665, -74.07397645943514 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Glamour Profession"", ""lyric"": ""Jive Miguel, he's in from <b><u>Bogota</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 4.7032939803754665, -74.07397645943514 ] } },",4.70329398,-74.07397646
Steely Dan,Gaucho (1980),Time Out Of Mind,"""It's direct from <b><u>Lhasa</b></u>, where people are rolling in the snow""","Lhasa, China","[ 29.64761495516237, 91.11330514088732 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Time Out Of Mind"", ""lyric"": ""It's direct from <b><u>Lhasa</b></u>, where people are rolling in the snow"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.64761495516237, 91.11330514088732 ] } },",29.64761496,91.11330514
Steely Dan,Gaucho (1980),Third World Man,"""I just sing that <b><u>Ghana</b></u> rondo. E l'era del terzo mondo""",Ghana,"[ 7.787345627462776, -1.1887723248609503 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Third World Man"", ""lyric"": ""I just sing that <b><u>Ghana</b></u> rondo. E l'era del terzo mondo"", ""artist"": ""Steely Dan"", ""year"": ""1980"", ""album"": ""Gaucho"", ""count"": 10, ""pic"": ""<img src='Steely_Gaucho.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 7.787345627462776, -1.1887723248609503 ] } },",7.787345627,-1.188772325
Steely Dan,Two Against Nature (2000),What A Shame About Me,"""Stackin' cutouts at the Strand, when in walks Franny from <b><u>NYU</b></u>""",NYU,"[ 40.72949431620145, -73.99650228688193 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""What A Shame About Me"", ""lyric"": ""Stackin' cutouts at the Strand, when in walks Franny from <b><u>NYU</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.72949431620145, -73.99650228688193 ] } },",40.72949432,-73.99650229
Steely Dan,Two Against Nature (2000),What A Shame About Me,"""She said, yeah, <b><u>Hollywood's</b></u> been good to me""",Hollywood,"[ 34.09909932858699, -118.35146150239 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""What A Shame About Me"", ""lyric"": ""She said, yeah, <b><u>Hollywood's</b></u> been good to me"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.09909932858699, -118.35146150239 ] } },",34.09909933,-118.3514615
Steely Dan,Two Against Nature (2000),Janie Runaway,"""You hopped a bus for <b><u>NYC</b></u>""",NYC,"[ 40.70716025614142, -73.80152490821622 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Janie Runaway"", ""lyric"": ""You hopped a bus for <b><u>NYC</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.70716025614142, -73.80152490821622 ] } },",40.70716026,-73.80152491
Steely Dan,Two Against Nature (2000),Janie Runaway,"""Down in <b><u>Tampa</b></u> the future looked desperate and dark""",Tampa,"[ 27.946588813982935, -82.45954436757245 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Janie Runaway"", ""lyric"": ""Down in <b><u>Tampa</b></u> the future looked desperate and dark"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 27.946588813982935, -82.45954436757245 ] } },",27.94658881,-82.45954437
Steely Dan,Two Against Nature (2000),Janie Runaway,"""Now you're the wonderwaif of <b><u>Gramercy Park</b></u>""","Gramercy Park, NYC","[ 40.7361469446172, -73.98423446067679 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Janie Runaway"", ""lyric"": ""Now you're the wonderwaif of <b><u>Gramercy Park</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.7361469446172, -73.98423446067679 ] } },",40.73614694,-73.98423446
Steely Dan,Two Against Nature (2000),Janie Runaway,"""Out to Binky's place, the sugar shack in <b><u>Pennsylvania</b></u>""",Pennsylvania,"[ 40.9163282010875, -77.72742667389522 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Janie Runaway"", ""lyric"": ""Out to Binky's place, the sugar shack in <b><u>Pennsylvania</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.9163282010875, -77.72742667389522 ] } },",40.9163282,-77.72742667
Steely Dan,Two Against Nature (2000),Janie Runaway,"""Who gets to spend her birthday in <b><u>Spain</b></u>. Possibly you - Janie Runaway""",Spain,"[ 39.81724925130583, -3.527120722661116 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Janie Runaway"", ""lyric"": ""Who gets to spend her birthday in <b><u>Spain</b></u>. Possibly you - Janie Runaway"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.81724925130583, -3.527120722661116 ] } },",39.81724925,-3.527120723
Steely Dan,Two Against Nature (2000),West of Hollywood,"""Riding the crest of a wave breaking just west of <b><u>Hollywood</b></u>""",Hollywood,"[ 34.09747915028103, -118.36468824993118 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""West of Hollywood"", ""lyric"": ""Riding the crest of a wave breaking just west of <b><u>Hollywood</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.09747915028103, -118.36468824993118 ] } },",34.09747915,-118.3646882
Steely Dan,Two Against Nature (2000),West of Hollywood,"""From the Rebus affair to the streets of <b><u>Culver City</b></u>""",Culver City,"[ 34.015735424566856, -118.39730740589357 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""West of Hollywood"", ""lyric"": ""From the Rebus affair to the streets of <b><u>Culver City</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.015735424566856, -118.39730740589357 ] } },",34.01573542,-118.3973074
Steely Dan,Two Against Nature (2000),West of Hollywood,"""Don't you love <b><u>Port Blanc</b></u> when Hooterie is over?""",Port Blanc,"[ 48.835555567648626, -3.3099888115875866 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""West of Hollywood"", ""lyric"": ""Don't you love <b><u>Port Blanc</b></u> when Hooterie is over?"", ""artist"": ""Steely Dan"", ""year"": ""2000"", ""album"": ""Two Against Nature"", ""count"": 10, ""pic"": ""<img src='Steely_TwoAgainstNature.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 48.835555567648626, -3.3099888115875866 ] } },",48.83555557,-3.309988812
